"Page","State","DnaImports","UiImports","UiImportList","RawInput","RawSelect","RawTextarea","RawTable","RawInputDate","DnaDataTableCard","DnaPageHeader","DnaKpiGrid","DnaCell","DnaSearchableSelect","DnaDatePicker","DnaNumberInput","DnaCurrencyInput","DnaConfirmDialog","UseDnaToast","DnaModal","DnaToolbar","DnaSelect","DnaInput","DnaBadge","DnaTabNav","DnaTable","BadgeBugCount","BadgeBugLines","DashboardCard","Rounded24","BorderColorVar","Score"
"legality\master-inci\page.tsx","DNA","1","0","","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","6","118,119,120,121,122,123","0","0","0","10"
"legality\permits\page.tsx","DNA","1","0","","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","","0","0","0","4"
"legality\pipeline\page.tsx","DNA","1","0","","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","6","75,76,77,78,160,270","0","0","0","15"
"legality\records\page.tsx","DNA","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","4","125,132,139,277","0","0","0","12"
"logistics\delivery-orders\page.tsx","MIXED","1","2","from ""@/components/ui/dialog""; from ""@/components/ui/select""","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5","0","0","0","","3","1","0","7"
"logistics\fleet\page.tsx","DNA","1","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","102","8","0","0","5"
"logistics\logs\page.tsx","DNA","1","0","","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","3","0","0","0","","0","0","0","4"
"logistics\outbound\page.tsx","MIXED","1","1","from ""@/components/ui/dialog""","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","","5","3","0","3"
"master\page.tsx","DNA","1","0","","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","","0","0","0","9"
"master\categories\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"master\customers\page.tsx","DNA","1","0","","2","0","0","2","0","6","3","3","17","0","0","0","4","2","2","6","0","6","9","0","0","0","1","952","0","0","0","54"
"master\goods\page.tsx","DNA","1","0","","2","0","0","2","0","5","2","2","10","0","0","3","2","2","2","7","0","3","12","3","1","0","1","1009","0","0","0","50"
"master\personnel\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
"master\suppliers\page.tsx","DNA","1","0","","2","0","0","2","0","6","3","3","12","0","0","0","0","2","2","8","0","4","10","0","0","0","1","1008","0","0","0","46"
"master\vendors\page.tsx","NONE","0","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0"
