# UUID_CONVERSION_ALLOWLIST

Generated from canonical Prisma schema. Each entry: Prisma model, table (per @@map or default snake_case), column declared @db.Uuid.
Total entries: 377

| Prisma model | Table | Column | File |
| SystemSequence | system_sequences | id | system.prisma |
| TaskBoard | task_boards | id | system.prisma |
| TaskItem | task_items | boardId | system.prisma |
| TaskItem | task_items | id | system.prisma |
| Ticket | tickets | authorizedById | hr.prisma |
| Ticket | tickets | employeeId | hr.prisma |
| Ticket | tickets | id | hr.prisma |
| TransferOrderItem | transfer_order_items | id | warehouse.prisma |
| TransferOrderItem | transfer_order_items | materialId | warehouse.prisma |
| TransferOrderItem | transfer_order_items | transferId | warehouse.prisma |
| TransferOrder | transfer_orders | createdById | warehouse.prisma |
| TransferOrder | transfer_orders | destWarehouseId | warehouse.prisma |
| TransferOrder | transfer_orders | id | warehouse.prisma |
| TransferOrder | transfer_orders | sourceWarehouseId | warehouse.prisma |
| Invoice | unified_invoices | deliveryOrderId | finance.prisma |
| Invoice | unified_invoices | id | finance.prisma |
| Invoice | unified_invoices | poId | finance.prisma |
| Invoice | unified_invoices | soId | finance.prisma |
| Invoice | unified_invoices | supplierId | finance.prisma |
| Invoice | unified_invoices | workOrderId | finance.prisma |
| User | users | id | auth.prisma |
| WarehouseInbound | warehouse_inbounds | id | warehouse.prisma |
| WarehouseInbound | warehouse_inbounds | poId | warehouse.prisma |
| WarehouseInbound | warehouse_inbounds | warehouseId | warehouse.prisma |
| WarehouseLocation | warehouse_locations | id | warehouse.prisma |
| WarehouseLocation | warehouse_locations | warehouseId | warehouse.prisma |
| Warehouse | warehouses | id | warehouse.prisma |
| WebsiteProduct | website_products | id | website.prisma |
| WorkOrder | work_orders | id | production.prisma |
| WorkOrder | work_orders | leadId | production.prisma |
| WorkOrder | work_orders | planId | production.prisma |
